,0-date,1-temperature,2-day-length
229,2000/08/17,21.3,15
230,2000/08/18,20.5,14
231,2000/08/19,21.4,14
232,2000/08/20,25.4,14
233,2000/08/21,17.7,14
234,2000/08/22,18.4,14
235,2000/08/23,17.9,14
236,2000/08/24,17.0,14
237,2000/08/25,18.3,14
238,2000/08/26,20.5,14
239,2000/08/27,23.8,14
240,2000/08/28,25.0,14
241,2000/08/29,20.0,14
242,2000/08/30,18.9,14
243,2000/08/31,19.9,14
244,2000/09/01,19.4,13
245,2000/09/02,17.8,13
246,2000/09/03,18.8,13
247,2000/09/04,15.9,13
248,2000/09/05,14.5,13
249,2000/09/06,18.6,13
250,2000/09/07,20.0,13
251,2000/09/08,19.0,13
252,2000/09/09,16.9,13
253,2000/09/10,17.8,13
254,2000/09/11,17.1,13
255,2000/09/12,16.4,13
256,2000/09/13,18.3,13
257,2000/09/14,16.9,12
258,2000/09/15,18.1,12
259,2000/09/16,16.9,12
260,2000/09/17,17.3,12
261,2000/09/18,15.9,12
262,2000/09/19,13.0,12
263,2000/09/20,13.4,12
264,2000/09/21,14.7,12
265,2000/09/22,15.2,12
266,2000/09/23,15.6,12
267,2000/09/24,15.9,12
268,2000/09/25,16.6,12
269,2000/09/26,15.2,12
270,2000/09/27,21.6,11
271,2000/09/28,21.9,11
272,2000/09/29,23.4,11
273,2000/09/30,21.3,11
274,2000/10/01,22.0,11
275,2000/10/02,18.4,11
276,2000/10/03,21.2,11
277,2000/10/04,20.9,11
278,2000/10/05,16.5,11
279,2000/10/06,16.9,11
280,2000/10/07,14.2,11
281,2000/10/08,14.3,11
282,2000/10/09,11.6,11
283,2000/10/10,14.1,10
284,2000/10/11,15.3,10
285,2000/10/12,15.5,10
286,2000/10/13,18.0,10
287,2000/10/14,15.1,10
288,2000/10/15,15.9,10
289,2000/10/16,20.7,10
290,2000/10/17,16.2,10
291,2000/10/18,11.9,10
292,2000/10/19,14.9,10
293,2000/10/20,13.9,10
294,2000/10/21,14.6,10
295,2000/10/22,17.6,10
296,2000/10/23,16.9,10
297,2000/10/24,14.6,09
298,2000/10/25,11.9,09
299,2000/10/26,12.5,09
300,2000/10/27,10.7,09
301,2000/10/28,11.8,09
302,2000/10/29,14.9,09
303,2000/10/30,14.5,09
304,2000/10/31,15.9,09
305,2000/11/01,12.8,09
306,2000/11/02,11.6,09
307,2000/11/03,10.6,09
308,2000/11/04,9.6,09
309,2000/11/05,8.9,09
310,2000/11/06,10.2,09
311,2000/11/07,11.7,08
312,2000/11/08,13.2,08
313,2000/11/09,11.6,08
314,2000/11/10,8.0,08
315,2000/11/11,8.8,08
316,2000/11/12,8.8,08
317,2000/11/13,10.4,08
318,2000/11/14,9.7,08
319,2000/11/15,9.4,08
320,2000/11/16,8.6,08
321,2000/11/17,5.7,08
322,2000/11/18,6.5,08
323,2000/11/19,7.5,08
324,2000/11/20,8.5,08
325,2000/11/21,7.1,08
326,2000/11/22,8.0,07
327,2000/11/23,8.6,07
328,2000/11/24,8.0,07
329,2000/11/25,7.5,07
330,2000/11/26,7.7,07
331,2000/11/27,7.5,07
332,2000/11/28,7.4,07
333,2000/11/29,8.4,07
334,2000/11/30,10.4,07
335,2000/12/01,8.5,07
336,2000/12/02,8.3,07
337,2000/12/03,10.2,07
338,2000/12/04,8.4,07
339,2000/12/05,6.4,07
340,2000/12/06,6.7,07
341,2000/12/07,7.0,07
342,2000/12/08,6.6,07
343,2000/12/09,9.4,07
344,2000/12/10,7.9,07
345,2000/12/11,9.7,07
346,2000/12/12,10.9,07
347,2000/12/13,12.7,07
348,2000/12/14,10.1,07
349,2000/12/15,7.0,07
350,2000/12/16,6.4,07
351,2000/12/17,6.2,07
352,2000/12/18,5.2,07
353,2000/12/19,3.0,07
354,2000/12/20,1.5,07
355,2000/12/21,0.3,07
356,2000/12/22,-0.7,07
357,2000/12/23,-1.2,07
358,2000/12/24,0.4,07
359,2000/12/25,1.0,07
360,2000/12/26,-1.4,07
361,2000/12/27,0.1,07
362,2000/12/28,1.3,07
363,2000/12/29,1.0,07
364,2000/12/30,0.2,07
365,2000/12/31,3.2,07
